A col,Result,option
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
0,4,0.0313:-1.0521:0.2292:-1.0521:0.1667:1.1146:0.1667:1.1146:0.0834:-1.2188:0.0625:-1.2188:0.0209:1.2605:0.0209:1.2605:0.0209:-1.2188:0.0625:-1.2188:0.0834:1.1146:0.1667:1.1146:0.1667:-1.0521:0.2292:-1.0521
0,4,0.0313:-1.0521:0.2292:-1.0521:0.1667:1.1146:0.1667:1.1146:0.0834:-1.2188:0.0625:-1.2188:0.0209:1.2605:0.0209:1.2605:0.0209:-1.2188:0.0625:-1.2188:0.0834:1.1146:0.1667:1.1146:0.1667:-1.0521:0.2292:-1.0521
0,4,0.0313:-1.0521:0.2292:-1.0521:0.1667:1.1146:0.1667:1.1146:0.0834:-1.2188:0.0625:-1.2188:0.0209:1.2605:0.0209:1.2605:0.0209:-1.2188:0.0625:-1.2188:0.0834:1.1146:0.1667:1.1146:0.1667:-1.0521:0.2292:-1.0521
0,4,0.0313:-1.0521:0.2292:-1.0521:0.1667:1.1146:0.1667:1.1146:0.0834:-1.2188:0.0625:-1.2188:0.0209:1.2605:0.0209:1.2605:0.0209:-1.2188:0.0625:-1.2188:0.0834:1.1146:0.1667:1.1146:0.1667:-1.0521:0.2292:-1.0521
0,4,0.0313:-1.0521:0.2292:-1.0521:0.1667:1.1146:0.1667:1.1146:0.0834:-1.2188:0.0625:-1.2188:0.0209:1.2605:0.0209:1.2605:0.0209:-1.2188:0.0625:-1.2188:0.0834:1.1146:0.1667:1.1146:0.1667:-1.0521:0.2292:-1.0521
0,4,0.0313:-1.0521:0.2292:-1.0521:0.1667:1.1146:0.1667:1.1146:0.0834:-1.2188:0.0625:-1.2188:0.0209:1.2605:0.0209:1.2605:0.0209:-1.2188:0.0625:-1.2188:0.0834:1.1146:0.1667:1.1146:0.1667:-1.0521:0.2292:-1.0521
0,4,0.0313:-1.0521:0.2292:-1.0521:0.1667:1.1146:0.1667:1.1146:0.0834:-1.2188:0.0625:-1.2188:0.0209:1.2605:0.0209:1.2605:0.0209:-1.2188:0.0625:-1.2188:0.0834:1.1146:0.1667:1.1146:0.1667:-1.0521:0.2292:-1.0521
0,4,0.0313:-1.0521:0.2292:-1.0521:0.1667:1.1146:0.1667:1.1146:0.0834:-1.2188:0.0625:-1.2188:0.0209:1.2605:0.0209:1.2605:0.0209:-1.2188:0.0625:-1.2188:0.0834:1.1146:0.1667:1.1146:0.1667:-1.0521:0.2292:-1.0521
0,4,0.0341:-1.0569:0.216:-1.0569:0.1591:1.1023:0.1705:1.1023:0.0796:-1.216:0.0569:-1.216:0.0114:1.5341:0.0114:-1.216:0.0569:-1.216:0.0796:1.1023:0.1705:1.1023:0.1591:-1.0569:0.216:-1.0569
0,4,0.0341:-1.0569:0.216:-1.0569:0.1591:1.1023:0.1705:1.1023:0.0796:-1.216:0.0569:-1.216:0.0114:1.5341:0.0114:-1.216:0.0569:-1.216:0.0796:1.1023:0.1705:1.1023:0.1591:-1.0569:0.216:-1.0569
0,4,0.0341:-1.0569:0.216:-1.0569:0.1591:1.1023:0.1705:1.1023:0.0796:-1.216:0.0569:-1.216:0.0114:1.5341:0.0114:-1.216:0.0569:-1.216:0.0796:1.1023:0.1705:1.1023:0.1591:-1.0569:0.216:-1.0569
0,4,0.0341:-1.0569:0.216:-1.0569:0.1591:1.1023:0.1705:1.1023:0.0796:-1.216:0.0569:-1.216:0.0114:1.5341:0.0114:-1.216:0.0569:-1.216:0.0796:1.1023:0.1705:1.1023:0.1591:-1.0569:0.216:-1.0569
0,4,0.0341:-1.0569:0.216:-1.0569:0.1591:1.1023:0.1705:1.1023:0.0796:-1.216:0.0569:-1.216:0.0114:1.5341:0.0114:-1.216:0.0569:-1.216:0.0796:1.1023:0.1705:1.1023:0.1591:-1.0569:0.216:-1.0569
0,4,0.0341:-1.0569:0.216:-1.0569:0.1591:1.1023:0.1705:1.1023:0.0796:-1.216:0.0569:-1.216:0.0114:1.5341:0.0114:-1.216:0.0569:-1.216:0.0796:1.1023:0.1705:1.1023:0.1591:-1.0569:0.216:-1.0569
0,4,0.0341:-1.0569:0.216:-1.0569:0.1591:1.1023:0.1705:1.1023:0.0796:-1.216:0.0569:-1.216:0.0114:1.5341:0.0114:-1.216:0.0569:-1.216:0.0796:1.1023:0.1705:1.1023:0.1591:-1.0569:0.216:-1.0569
0,4,0.0341:-1.0569:0.216:-1.0569:0.1591:1.1023:0.1705:1.1023:0.0796:-1.216:0.0569:-1.216:0.0114:1.5341:0.0114:-1.216:0.0569:-1.216:0.0796:1.1023:0.1705:1.1023:0.1591:-1.0569:0.216:-1.0569
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
1,2.5,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
1,2,0
1,2,0
0,4,0.0313:-1.0521:0.2292:-1.0521:0.1667:1.1146:0.1667:1.1146:0.0834:-1.2188:0.0625:-1.2188:0.0209:1.2605:0.0209:1.2605:0.0209:-1.2188:0.0625:-1.2188:0.0834:1.1146:0.1667:1.1146:0.1667:-1.0521:0.2292:-1.0521
0,4,0.0341:-1.0569:0.216:-1.0569:0.1591:1.1023:0.1705:1.1023:0.0796:-1.216:0.0569:-1.216:0.0114:1.5341:0.0114:-1.216:0.0569:-1.216:0.0796:1.1023:0.1705:1.1023:0.1591:-1.0569:0.216:-1.0569
1,2.5,0
1,2.5,0
4,4,0
4,4,0
4,4,0
4,4,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
1,2,0
1,2,0
0,4,0.0313:-1.0521:0.2292:-1.0521:0.1667:1.1146:0.1667:1.1146:0.0834:-1.2188:0.0625:-1.2188:0.0209:1.2605:0.0209:1.2605:0.0209:-1.2188:0.0625:-1.2188:0.0834:1.1146:0.1667:1.1146:0.1667:-1.0521:0.2292:-1.0521
0,4,0.0341:-1.0569:0.216:-1.0569:0.1591:1.1023:0.1705:1.1023:0.0796:-1.216:0.0569:-1.216:0.0114:1.5341:0.0114:-1.216:0.0569:-1.216:0.0796:1.1023:0.1705:1.1023:0.1591:-1.0569:0.216:-1.0569
1,2.5,0
1,2.5,0
4,4,0
4,4,0
4,4,0
4,4,0
