,Database,temperatureId,probeId,tempSSId,measDate,measSetNum,roomTempC,pulseVoltage,temperatureC,numTxCycles,numTxElements,txFrequencyHz,elevAperIndex,isTxAperModulationEn,txpgWaveformStyle,pulseRepetRate,scanRange,probeName,probePitchCm,probeRadiusCm,probeElevAperCm0,probeElevAperCm1,probeNumElements,probeElevFocusRangCm,probeDescription
348,Griffin_r01,1603,252,1963,2016-10-19 16:26:00,4,22.799999237060547,4.114622116088867,33.400001525878906,1.0,1,5000000.0,0,0,2,5000000.0,0.0,CW5,0.5649999976158142,,1.1299999952316284,,2.0,9.0,Linear
350,Griffin_r01,1605,252,1963,2016-10-19 17:00:00,4,22.700000762939453,4.521528244018555,35.70000076293945,1.0,1,5000000.0,0,0,2,5000000.0,0.0,CW5,0.5649999976158142,,1.1299999952316284,,2.0,9.0,Linear
352,Griffin_r01,1607,252,1963,2016-10-19 17:35:00,4,22.5,4.968675136566162,38.599998474121094,1.0,1,5000000.0,0,0,2,5000000.0,0.0,CW5,0.5649999976158142,,1.1299999952316284,,2.0,9.0,Linear
353,Griffin_r01,1608,252,1963,2016-10-19 18:12:00,4,22.399999618530273,5.460041046142578,43.099998474121094,1.0,1,5000000.0,0,0,2,5000000.0,0.0,CW5,0.5649999976158142,,1.1299999952316284,,2.0,9.0,Linear
355,Griffin_r01,1610,252,1963,2016-10-19 18:50:00,4,22.299999237060547,6.0,47.29999923706055,1.0,1,5000000.0,0,0,2,5000000.0,0.0,CW5,0.5649999976158142,,1.1299999952316284,,2.0,9.0,Linear
361,Griffin_r01,1618,246,1957,2016-10-20 12:26:00,4,22.600000381469727,4.114622116088867,39.0,1.0,1,2000000.0,0,0,2,2000000.0,0.0,CW2,0.6899999976158142,,1.3799999952316284,,2.0,10.0,Linear
362,Griffin_r01,1620,246,1957,2016-10-20 13:03:00,4,22.799999237060547,4.521528244018555,41.5,1.0,1,2000000.0,0,0,2,2000000.0,0.0,CW2,0.6899999976158142,,1.3799999952316284,,2.0,10.0,Linear
363,Griffin_r01,1621,246,1957,2016-10-20 13:41:00,4,23.0,4.968675136566162,44.0,1.0,1,2000000.0,0,0,2,2000000.0,0.0,CW2,0.6899999976158142,,1.3799999952316284,,2.0,10.0,Linear
364,Griffin_r01,1623,246,1957,2016-10-20 14:19:00,4,23.399999618530273,5.460041046142578,47.0,1.0,1,2000000.0,0,0,2,2000000.0,0.0,CW2,0.6899999976158142,,1.3799999952316284,,2.0,10.0,Linear
365,Griffin_r01,1625,246,1957,2016-10-20 14:59:00,4,23.899999618530273,6.0,50.0,1.0,1,2000000.0,0,0,2,2000000.0,0.0,CW2,0.6899999976158142,,1.3799999952316284,,2.0,10.0,Linear
586,Griffin_r01,2485,11014552,1586,2017-02-14 00:00:00,4,22.0,34.89980697631836,22.100000381469727,1.0,88,6153800.0,0,0,3,18059.5,0.0,VF16-5,0.01810000091791153,0.0,0.25999999046325684,,192.0,1.5,Linear
658,Griffin_r01,2604,11268279,2795,2017-01-16 00:00:00,4,21.100000381469727,34.89980697631836,31.399999618530273,1.0,100,13333330.0,0,1,2,20249.80078125,0.0,VF12-4,0.02669999934732914,0.0,0.699999988079071,,192.0,2.5,Linear
707,Griffin_r01,2667,11268279,2800,2017-01-16 00:00:00,4,21.5,34.89980697631836,35.0,1.0,100,4210500.0,0,0,3,18662.69921875,0.0,VF12-4,0.02669999934732914,0.0,0.699999988079071,,192.0,2.5,Linear
719,Griffin_r01,2680,11268279,2801,2017-01-16 00:00:00,4,21.299999237060547,34.89980697631836,34.20000076293945,1.0,100,5000000.0,0,0,3,18894.5,0.0,VF12-4,0.02669999934732914,0.0,0.699999988079071,,192.0,2.5,Linear
811,Griffin_r01,2827,11014543,977,2017-04-28 00:00:00,4,22.0,2.987517833709717,28.299999237060547,1.0,29,3636400.0,0,0,1,3636400.0,0.0,P8-4,0.014999999664723873,,0.800000011920929,,64.0,5.0,Phased
812,Griffin_r01,2829,11014543,977,2017-04-28 00:00:00,4,21.799999237060547,3.2136449813842773,30.5,1.0,29,3636400.0,0,0,1,3636400.0,0.0,P8-4,0.014999999664723873,,0.800000011920929,,64.0,5.0,Phased
813,Griffin_r01,2832,11014543,977,2017-04-28 00:00:00,4,21.799999237060547,3.4568874835968018,33.29999923706055,1.0,29,3636400.0,0,0,1,3636400.0,0.0,P8-4,0.014999999664723873,,0.800000011920929,,64.0,5.0,Phased
814,Griffin_r01,2833,11014543,977,2017-04-28 00:00:00,4,21.799999237060547,3.718541383743286,35.400001525878906,1.0,29,3636400.0,0,0,1,3636400.0,0.0,P8-4,0.014999999664723873,,0.800000011920929,,64.0,5.0,Phased
815,Griffin_r01,2835,11014543,977,2017-04-28 00:00:00,4,21.899999618530273,4.0,40.29999923706055,1.0,29,3636400.0,0,0,1,3636400.0,0.0,P8-4,0.014999999664723873,,0.800000011920929,,64.0,5.0,Phased
